ID,EditorSearch,UsedTopDown,ClickedTopDown,FoundSystemParamWOArgus,FoundParamishWOArgus,OpenedDocs,WhySwitchedToTopDown
1,,,,,,,
2,,,,,,,
3,,,,,,,
4,,,,,,,
5,,,,,,,
6,,,,,,,
7,,,,,,,
8,,,,,,,
9,,,,,,,
10,,,,,,,
11,,,,,,,
12,1100,--00,--11,----,0---,0000,
13,,,,,,,
14,,,,,,,
15,,,,,,,
16,,,,,,,
17,,,,,,,
18,,,,,,,
19,1110,--00,--10,----,0---,0000,
20,,,,,,,
21,,,,,,,
22,,,,,,,
23,1111,00--,00--,--0,--00,0011,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,1010,--00,----,----,----,0100,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,101,00--,00--,----,----,0101,
39,,,,,,,
40,,,,,,,
41,1001,--00,--00,----,1---,1101,
42,,,,,,,
43,1000,--00,--00,----,----,0100,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,0011,00--,00--,----,--00,0000,
49,,,,,,,
50,1111,--00,--10,-0--,-0--,0000,
51,,,,,,,
52,,,,,,,
53,1110,--00,--00,----,0---,0000,
54,,,,,,,
55,,,,,,,
56,1110,--00,--00,-0--,00--,0000,
57,1011,--11,--11,----,----,0101,I wanted the full context of the solver and didn't trust the bottom up
58,1100,--00,--00,----,1---,1110,
59,1111,10--,10--,----,--0-,0000,
60,,,,,,,
61,,,,,,,
62,1111,---01,--01,-1--,-1--,0000,
63,1011,10--,10--,---0,---0,0001,
64,1111,01--,01--,----,----,0010,
65,1111,--10,--10,----,----,0100,
66,0011,00--,11--,----,--1-,1111,
67,1110,--01,--01,-0--,00--,0101,
68,1111,11--,11--,---0,--10,0011,
69,1000,10--,10--,----,--1-,1011,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,1110,00--,00--,----,--0-,0000,
74,1111,00--,00--,---1,---1,0001,
75,1111,10--,10--,---0,---0,0011,